Num	Name	R	G	B
10	Left-Thalamus-Proper	0	118	14
11	Left-Caudate	122	186	220
12	Left-Putamen	236	13	176
13	Left-Pallidum	12	48	255
17	Left-Hippocampus	220	216	20
18	Left-Amygdala	103	255	255
26	Left-Accumbens-area	255	165	0
49	Right-Thalamus-Proper	0	118	14
50	Right-Caudate	122	186	220
51	Right-Putamen	236	13	176
52	Right-Pallidum	13	48	255
53	Right-Hippocampus	220	216	20
54	Right-Amygdala	103	255	255
58	Right-Accumbens-area	255	165	0
1001	lh-bankssts	25	100	40
1002	lh-caudalanteriorcingulate	125	100	160
1003	lh-caudalmiddlefrontal	100	25	0
1005	lh-cuneus	220	20	100
1006	lh-entorhinal	220	20	10
1007	lh-fusiform	180	220	140
1008	lh-inferiorparietal	220	60	220
1009	lh-inferiortemporal	180	40	120
1010	lh-isthmuscingulate	140	20	140
1011	lh-lateraloccipital	20	30	140
1012	lh-lateralorbitofrontal	35	75	50
1013	lh-lingual	225	140	140
1014	lh-medialorbitofrontal	200	35	75
1015	lh-middletemporal	160	100	50
1016	lh-parahippocampal	20	220	60
1017	lh-paracentral	60	220	60
1018	lh-parsopercularis	220	180	140
1019	lh-parsorbitalis	20	100	50
1020	lh-parstriangularis	220	60	20
1021	lh-pericalcarine	120	100	60
1022	lh-postcentral	220	20	20
1023	lh-posteriorcingulate	220	180	220
1024	lh-precentral	60	20	220
1025	lh-precuneus	160	140	180
1026	lh-rostralanteriorcingulate	80	20	140
1027	lh-rostralmiddlefrontal	75	50	125
1028	lh-superiorfrontal	20	220	160
1029	lh-superiorparietal	20	180	140
1030	lh-superiortemporal	140	220	220
1031	lh-supramarginal	80	160	20
1032	lh-frontalpole	100	0	100
1033	lh-temporalpole	70	70	70
1034	lh-transversetemporal	150	150	200
1035	lh-insula	255	192	32
2001	rh-bankssts	25	100	40
2002	rh-caudalanteriorcingulate	125	100	160
2003	rh-caudalmiddlefrontal	100	25	0
2005	rh-cuneus	220	20	100
2006	rh-entorhinal	220	20	10
2007	rh-fusiform	180	220	140
2008	rh-inferiorparietal	220	60	220
2009	rh-inferiortemporal	180	40	120
2010	rh-isthmuscingulate	140	20	140
2011	rh-lateraloccipital	20	30	140
2012	rh-lateralorbitofrontal	35	75	50
2013	rh-lingual	225	140	140
2014	rh-medialorbitofrontal	200	35	75
2015	rh-middletemporal	160	100	50
2016	rh-parahippocampal	20	220	60
2017	rh-paracentral	60	220	60
2018	rh-parsopercularis	220	180	140
2019	rh-parsorbitalis	20	100	50
2020	rh-parstriangularis	220	60	20
2021	rh-pericalcarine	120	100	60
2022	rh-postcentral	220	20	20
2023	rh-posteriorcingulate	220	180	220
2024	rh-precentral	60	20	220
2025	rh-precuneus	160	140	180
2026	rh-rostralanteriorcingulate	80	20	140
2027	rh-rostralmiddlefrontal	75	50	125
2028	rh-superiorfrontal	20	220	160
2029	rh-superiorparietal	20	180	140
2030	rh-superiortemporal	140	220	220
2031	rh-supramarginal	80	160	20
2032	rh-frontalpole	100	0	100
2033	rh-temporalpole	70	70	70
2034	rh-transversetemporal	150	150	200
2035	rh-insula	255	192	32
